"yr.eduexp" "meanyr.edu" "edu2F" "edu2.mean" "lifexp" "matermor" "adobirth" "GNI"
"The former Yugoslav Republic of Macedonia" 13.4 9.3 40.2 47.9 75.4 7 18.3 11780
"Ukraine" 15.1 11.3 91.7 93.8 71 23 25.7 8178
"Algeria" 14 7.6 26.7 28.85 74.8 89 10 13054
"Peru" 13.1 9 56.3 61.2 74.6 89 50.7 11015
"Albania" 11.8 9.3 81.8 84.85 77.8 21 15.3 9943
"Armenia" 12.3 10.9 94 94.5 74.7 29 27.1 8124
"Bosnia and Herzegovina" 13.6 8.3 44.9 57.35 76.5 8 15.1 9638
"Ecuador" 14.2 7.6 40.1 39.75 75.9 87 77 10605
"China" 13.1 7.5 58.7 65.3 75.8 32 8.6 12547
"Fiji" 15.7 9.9 64.2 64.35 70 59 42.8 7493
"Mongolia" 14.6 9.3 85.3 84.7 69.4 68 18.7 10729
"Thailand" 13.5 7.3 35.7 38.25 74.4 26 41 13323
"Libya" 14 7.3 55.5 48.7 71.6 15 2.5 14911
"Tunisia" 14.6 6.8 32.8 39.45 74.8 46 4.6 10404
"Colombia" 13.5 7.3 56.9 56.25 74 83 68.5 12040
"Jamaica" 12.4 9.7 74 72.1 75.7 80 70.1 7415
"Tonga" 14.7 10.7 87.5 87.9 72.8 120 18.1 5069
"Belize" 13.6 10.5 76.4 76.1 70 45 71.4 7614
"Dominican Republic" 13.1 7.6 55.6 54.35 73.5 100 99.6 11883
"Suriname" 12.7 7.7 44.6 45.85 71.1 130 35.2 15617
"Maldives" 13 5.8 27.3 30 76.8 31 4.2 12328
"Samoa" 12.9 10.3 64.3 62.15 73.4 58 28.3 5327
"Botswana" 12.5 8.9 73.6 75.75 64.5 170 44.2 16646
"Moldova (Republic of)" 11.9 11.2 93.6 95.1 71.6 21 29.3 5223
"Egypt" 13.5 6.6 43.9 52.25 71.1 45 43 10512
"Gabon" 12.5 7.8 53.9 45 64.4 240 103 16367
"Indonesia" 13 7.6 39.9 44.55 68.9 190 48.3 9788
"Paraguay" 11.9 7.7 36.8 39.9 72.9 110 67 7643
"Philippines" 11.3 8.9 65.9 64.8 68.2 120 46.8 7915
"El Salvador" 12.3 6.5 36.8 40.2 73 69 76 7349
"South Africa" 13.6 9.9 72.7 74.3 57.4 140 50.9 12122
"Viet Nam" 11.9 7.5 59.4 65.3 75.8 49 29 5092
"Bolivia (Plurinational State of)" 13.2 8.2 47.6 53.35 68.3 200 71.9 5760
"Kyrgyzstan" 12.5 10.6 94.5 95.65 70.6 75 29.3 3044
"Iraq" 10.1 6.4 27.8 39 69.4 67 68.7 14003
"Guyana" 10.3 8.5 60.3 54.05 66.4 250 88.5 6522
"Nicaragua" 11.5 6 39.4 38.85 74.9 100 100.8 4457
"Morocco" 11.6 4.4 20.7 25.45 74 120 35.8 6850
"Namibia" 11.3 6.2 33.3 33.85 64.8 130 54.9 9418
"Guatemala" 10.7 5.6 21.9 22.55 71.8 140 97.2 6929
"Tajikistan" 11.2 10.4 95.1 93.15 69.4 44 42.8 2517
"India" 11.7 5.4 27 41.8 68 190 32.8 5497
"Honduras" 11.1 5.5 28 26.9 73.1 120 84 3938
"Bhutan" 12.6 3 34 34.25 69.5 120 40.9 7176
"Syrian Arab Republic" 12.3 6.3 29.5 35 69.6 49 41.6 2728
"Congo" 11.1 6.1 39.7 43.35 62.3 410 126.7 6012
"Zambia" 13.5 6.6 25.8 34.9 60.1 280 125.4 3734
"Ghana" 11.5 7 45.2 54.95 61.4 380 58.4 3852
"Bangladesh" 10 5.1 34.1 37.7 71.6 170 80.6 3191
"Cambodia" 10.9 4.4 9.9 16.4 68.4 170 44.3 2949
"Kenya" 11 6.3 25.3 28.35 61.6 400 93.6 2762
"Nepal" 12.4 3.3 17.7 27.95 69.6 190 73.7 2311
"Pakistan" 7.8 4.7 19.3 32.7 66.2 170 27.3 4866
"Myanmar" 8.6 4.1 22.9 19.1 65.9 200 12.1 4608
"Swaziland" 11.3 7.1 21.9 23.95 49 310 72 5542
"Tanzania (United Republic of)" 9.2 5.1 5.6 7.55 65 410 122.7 2411
"Cameroon" 10.4 6 21.3 28.1 55.5 590 115.8 2803
"Zimbabwe" 10.9 7.3 48.7 55.35 57.5 470 60.3 1615
"Mauritania" 8.5 3.8 8.3 14.6 63.1 320 73.3 3560
"Papua New Guinea" 9.9 4 7.6 11.05 62.6 220 62.1 2463
"Yemen" 9.2 2.6 8.6 17.65 63.8 270 47 3519
"Lesotho" 11.1 5.9 21.9 20.45 49.8 490 89.4 3306
"Togo" 12.2 4.5 16.1 28.2 59.7 450 91.5 1228
"Haiti" 8.7 4.9 22.4 28.8 62.8 380 42 1669
"Rwanda" 10.3 3.7 8 8.4 64.2 320 33.6 1458
"Uganda" 9.8 5.4 22.9 28.2 58.5 360 126.6 1613
"Benin" 11.1 3.3 11.3 19.15 59.6 340 90.2 1767
"Sudan" 7 3.1 12.1 15.15 63.5 360 84 3809
"Senegal" 7.9 2.5 7.2 11.3 66.5 320 94.4 2188
"Afghanistan" 9.3 3.2 5.9 17.85 60.4 400 86.8 1885
"Côte d'Ivoire" 8.9 4.3 14 22.05 51.5 720 130.3 3171
"Malawi" 10.8 4.3 11.1 16.35 62.8 510 144.8 747
"Ethiopia" 8.5 2.4 7.8 13 64.1 420 78.4 1428
"Gambia" 8.8 2.8 17.4 24.45 60.2 430 115.8 1507
"Congo (Democratic Republic of the)" 9.8 6 12.8 22.6 58.7 730 135.3 680
"Liberia" 9.5 4.1 15.4 27.35 60.9 640 117.4 805
"Mali" 8.4 2 7.7 11.4 58 550 175.6 1583
"Mozambique" 9.3 3.2 1.4 3.8 55.1 480 137.8 1123
"Sierra Leone" 8.6 3.1 10 15.85 50.9 1100 100.7 1780
"Burkina Faso" 7.8 1.4 0.9 2.05 58.7 400 115.4 1591
"Burundi" 10.1 2.7 5.3 6.8 56.7 740 30.3 758
"Chad" 7.4 1.9 1.7 5.8 51.6 980 152 2085
"Central African Republic" 7.2 4.2 10.1 18.4 50.7 880 98.3 581
"Niger" 5.4 1.5 2.4 5.1 61.4 630 204.8 908
